Jeu,Algo,Structure,TouteUnif,Iteration,Temps_Pretraitement,Temps_Total,RAM_Pic_Mo,CPU_Percent,Nb_Unifications
jeu1,arbre,unique,True,1,0.12924045795807615,0.32040087500354275,37.92386817932129,99.9,3210
jeu1,arbre,unique,True,2,0.13071499997749925,0.32274466700619087,37.92386817932129,99.9,3210
jeu1,arbre,unique,True,3,0.13143262499943376,0.32323191699106246,37.92386817932129,99.9,3210
jeu1,arbre,unique,True,4,0.13086745800683275,0.3226572500425391,37.92386817932129,99.9,3210
jeu1,arbre,unique,True,5,0.13019404205260798,0.32181879197014496,37.92386817932129,99.9,3210
jeu1,arbre,unique,True,6,0.13046191702596843,0.32037004095036536,37.92386817932129,99.9,3210
jeu1,arbre,unique,True,7,0.1324147909763269,0.3249732909607701,37.92386817932129,99.7,3210
jeu1,arbre,unique,True,8,0.13184924999950454,0.32497337501263246,37.92386817932129,99.7,3210
jeu1,arbre,unique,True,9,0.1356308750109747,0.327322292025201,37.92386817932129,99.7,3210
jeu1,arbre,unique,True,10,0.13458341703517362,0.32688649999909103,37.92386817932129,99.7,3210
jeu1,arbre,unique,False,1,0.13304904202232137,0.3894363750005141,37.52177715301514,99.8,14
jeu1,arbre,unique,False,2,0.13154541701078415,0.3885496660368517,37.52177715301514,99.8,14
jeu1,arbre,unique,False,3,0.13148633303353563,0.38703104096930474,37.52177715301514,99.9,14
jeu1,arbre,unique,False,4,0.1305853750091046,0.38652724999701604,37.52177715301514,100.0,14
jeu1,arbre,unique,False,5,0.1328978329547681,0.3882540420163423,37.52177715301514,99.8,14
jeu1,arbre,unique,False,6,0.13368766603525728,0.39180058403871953,37.52177715301514,99.8,14
jeu1,arbre,unique,False,7,0.1309493340086192,0.38966337498277426,37.52177715301514,99.8,14
jeu1,arbre,unique,False,8,0.12974125001346692,0.3863820420228876,37.52177715301514,99.9,14
jeu1,arbre,unique,False,9,0.13008212501881644,0.38471408403711393,37.52177715301514,99.9,14
jeu1,arbre,unique,False,10,0.1309105419786647,0.3857299580122344,37.52177715301514,100.0,14
jeu2,arbre,unique,True,1,0.6041079169954173,1.3474355830112472,94.08994388580322,100.0,24876
jeu2,arbre,unique,True,2,0.6110372910043225,1.340556125040166,94.08994388580322,100.0,24876
jeu2,arbre,unique,True,3,0.6038701250217855,1.3265585000044666,94.08994388580322,100.0,24876
jeu2,arbre,unique,True,4,0.5954926669946872,1.3409803750109859,94.08994388580322,100.0,24876
jeu2,arbre,unique,True,5,0.5995697090402246,1.3578900420106947,94.08994388580322,100.0,24876
jeu2,arbre,unique,True,6,0.5870518329902552,1.3191426249686629,94.08994388580322,100.0,24876
jeu2,arbre,unique,True,7,0.6011615000315942,1.3481700839474797,94.08994388580322,100.0,24876
jeu2,arbre,unique,True,8,0.5920107080019079,1.3455236250301823,94.08994388580322,100.0,24876
jeu2,arbre,unique,True,9,0.5842063750023954,1.3245406670030206,94.08994388580322,100.0,24876
jeu2,arbre,unique,True,10,0.5934706249972805,1.3224540829542093,94.08994388580322,100.0,24876
jeu2,arbre,unique,False,1,0.5993221250246279,1.38103529100772,90.44798374176025,100.0,18
jeu2,arbre,unique,False,2,0.5924378749914467,1.3706574160023592,90.44798374176025,100.0,18
jeu2,arbre,unique,False,3,0.5970833750325255,1.3730931250029244,90.44798374176025,100.0,18
jeu2,arbre,unique,False,4,0.5987177079659887,1.3821441669715568,90.44798374176025,100.0,18
jeu2,arbre,unique,False,5,0.5967723329667933,1.3828518329537474,90.44798374176025,100.0,18
jeu2,arbre,unique,False,6,0.5980413340148516,1.3763142920215614,90.44798374176025,100.0,18
jeu2,arbre,unique,False,7,0.6108931670314632,1.3963029999868013,90.44798374176025,100.0,18
jeu2,arbre,unique,False,8,0.5957629169570282,1.381496041023638,90.44798374176025,100.0,18
jeu2,arbre,unique,False,9,0.5876248329877853,1.3559590840013698,90.44798374176025,100.0,18
jeu2,arbre,unique,False,10,0.589906582958065,1.3679417920066044,90.44798374176025,100.0,18
jeu3,arbre,unique,True,1,16.380153125035577,37.2712857919978,3302.6397523880005,93.5,146118
jeu3,arbre,unique,True,2,16.189101958007086,35.168943167023826,3302.6397523880005,96.5,146118
jeu3,arbre,unique,True,3,14.91922479198547,33.67533054202795,3302.6397523880005,97.2,146118
jeu3,arbre,unique,True,4,14.442732708004769,32.48350674996618,3302.6397523880005,97.5,146118
jeu3,arbre,unique,True,5,14.537420791981276,32.59086358296918,3302.6397523880005,97.0,146118
jeu3,arbre,unique,True,6,14.71168620797107,32.56636741705006,3302.6397523880005,97.1,146118
jeu3,arbre,unique,True,7,15.044525292003527,33.48204766603885,3302.6397523880005,96.9,146118
jeu3,arbre,unique,True,8,16.201839999994263,36.95812487503281,3302.6397523880005,93.9,146118
jeu3,arbre,unique,True,9,16.334648165968247,36.694014041044284,3302.6397523880005,95.1,146118
jeu3,arbre,unique,True,10,14.61159566702554,33.059609375020955,3302.6397523880005,96.1,146118
jeu3,arbre,unique,False,1,14.752537375024986,40.666460582986474,3268.9308519363403,96.5,16
jeu3,arbre,unique,False,2,14.790919542021584,40.06814650003798,3268.9308519363403,97.4,16
jeu3,arbre,unique,False,3,14.964762416959275,38.83728654199513,3268.9308519363403,97.6,16
jeu3,arbre,unique,False,4,16.00958404201083,43.480762291990686,3268.9308519363403,95.5,16
jeu3,arbre,unique,False,5,15.045288458990399,40.10070358403027,3268.9308519363403,97.4,16
jeu3,arbre,unique,False,6,14.508784457982983,38.34244875004515,3268.9308519363403,97.5,16
jeu3,arbre,unique,False,7,14.666227250010706,39.250787291966844,3268.9308519363403,97.5,16
jeu3,arbre,unique,False,8,14.645043083990458,39.343794791959226,3268.9308519363403,97.7,16
jeu3,arbre,unique,False,9,14.641577834030613,39.57551200001035,3268.9308519363403,97.4,16
jeu3,arbre,unique,False,10,16.140890374954324,45.6565910410136,3268.9308519363403,93.7,16
jeu4,arbre,unique,True,1,0.37372087500989437,0.8380984999821521,121.5196361541748,100.0,1166
jeu4,arbre,unique,True,2,0.3773126250016503,0.8363051660126075,121.5196361541748,100.0,1166
jeu4,arbre,unique,True,3,0.37062791700009257,0.8253764160326682,121.5196361541748,100.0,1166
jeu4,arbre,unique,True,4,0.37775699998019263,0.8337977079791017,121.5196361541748,100.0,1166
jeu4,arbre,unique,True,5,0.369056791998446,0.8199586250120774,121.5196361541748,100.0,1166
jeu4,arbre,unique,True,6,0.37198862503282726,0.8298002500087023,121.5196361541748,100.0,1166
jeu4,arbre,unique,True,7,0.3732195420307107,0.8313608749886043,121.5196361541748,100.0,1166
jeu4,arbre,unique,True,8,0.38146475004032254,0.843415666022338,121.5196361541748,100.0,1166
jeu4,arbre,unique,True,9,0.373984209029004,0.8372977909748442,121.5196361541748,100.0,1166
jeu4,arbre,unique,True,10,0.37211941595887765,0.8255532089970075,121.5196361541748,100.0,1166
jeu4,arbre,unique,False,1,0.3666654170374386,1.0876063749892637,121.29133987426758,100.0,10
jeu4,arbre,unique,False,2,0.3723079999908805,1.1009509169962257,121.29133987426758,100.0,10
jeu4,arbre,unique,False,3,0.3713610839913599,1.115603041020222,121.29133987426758,100.0,10
jeu4,arbre,unique,False,4,0.3683837910066359,1.0899909169529565,121.29133987426758,100.0,10
jeu4,arbre,unique,False,5,0.3744520000182092,1.098618499992881,121.29133987426758,100.0,10
jeu4,arbre,unique,False,6,0.3721302499761805,1.1071104999864474,121.29133987426758,100.0,10
jeu4,arbre,unique,False,7,0.37411616602912545,1.1071693330304697,121.29133987426758,100.0,10
jeu4,arbre,unique,False,8,0.3726262919954024,1.1023097499855794,121.29133987426758,100.0,10
jeu4,arbre,unique,False,9,0.37397629203042015,1.092369417019654,121.29133987426758,100.0,10
jeu4,arbre,unique,False,10,0.372949915996287,1.0957988330046646,121.29133987426758,100.0,10
jeu5,arbre,unique,True,1,3.4401053330511786,7.729458457964938,1034.1095418930054,99.7,13595
jeu5,arbre,unique,True,2,3.324865791015327,7.6105275000445545,1034.1095418930054,100.0,13595
jeu5,arbre,unique,True,3,3.351261292002164,7.633562208036892,1034.1095418930054,100.0,13595
jeu5,arbre,unique,True,4,3.4100076670292765,7.883175750030205,1034.1095418930054,100.0,13595
jeu5,arbre,unique,True,5,3.3240232500247657,7.549281041952781,1034.1095418930054,100.0,13595
jeu5,arbre,unique,True,6,3.350324708968401,7.614497541973833,1034.1095418930054,100.0,13595
jeu5,arbre,unique,True,7,3.372104624984786,7.641050250036642,1034.1095418930054,100.0,13595
