Jeu,Algo,Structure,TouteUnif,Temps_Pretraitement_Moyen(s),Temps_Unification_Moyen(s),Temps_Total_Moyen(s),RAM_Pic_Moyen(Mo),CPU_Moyen(%)
jeu12,robinson,dictionnaire,False,0.070609,0.950812,1.021422,16.81,100.0
jeu12,robinson,ensemble,True,7.621308,46.036975,53.658283,161.23,100.0
jeu12,robinson,ensemble,False,7.666126,9.134205,16.800332,48.0,100.0
jeu13,robinson,liste,True,0.000206,0.633617,0.633823,0.99,100.0
jeu13,robinson,liste,False,0.000203,0.175802,0.176005,0.18,100.0
jeu13,robinson,dictionnaire,True,0.000787,0.621441,0.622227,0.99,100.0
jeu13,robinson,dictionnaire,False,0.000763,0.172503,0.173266,0.18,100.0
jeu13,robinson,ensemble,True,0.034428,0.349056,0.383485,1.32,100.0
jeu13,robinson,ensemble,False,0.03375,0.142136,0.175886,0.63,100.0
jeu14,robinson,liste,True,0.002092,6.395254,6.397345,7.54,100.0
jeu14,robinson,liste,False,0.002194,1.664712,1.666906,1.57,99.8
jeu14,robinson,dictionnaire,True,0.007326,6.351985,6.359311,7.57,100.0
jeu14,robinson,dictionnaire,False,0.007369,1.585976,1.593346,1.6,100.0
jeu14,robinson,ensemble,True,0.391241,3.614364,4.005605,9.99,100.0
jeu14,robinson,ensemble,False,0.393488,1.213246,1.606734,6.0,100.0
jeu15,robinson,liste,True,0.023228,50.605728,50.628957,90.26,100.0
jeu15,robinson,liste,False,0.023376,1.903793,1.927169,16.34,100.0
jeu15,robinson,dictionnaire,True,0.075848,49.303768,49.379616,90.45,100.0
jeu15,robinson,dictionnaire,False,0.077069,1.875997,1.953067,16.53,100.0
jeu15,robinson,ensemble,True,2.883349,25.633357,28.516706,105.92,100.0
jeu15,robinson,ensemble,False,2.886448,4.072066,6.958514,48.0,100.0
jeu16,robinson,liste,True,0.00022,0.784983,0.785203,0.89,100.0
jeu16,robinson,liste,False,0.000219,0.260606,0.260825,0.21,100.0
jeu16,robinson,dictionnaire,True,0.000795,0.771497,0.772293,0.89,100.0
